dog_id,dog_id_link,registered_name,registered_name_link,call_name,registration_#,whelp_date,deceased,dna_reg_#,cert_test_by,tested,cert_#___report_#,findings,test_date,total_dogs_in_pedigree:,3,oldest_generation:,0,529,9,pct_blood,occurs
89389,Dog_Detail?DogID=89389,GWEEBARRA'S OOH-LA-LA,Dog_Detail?DogID=89389,SOPHIE,WS41866105 (AKC),"Aug 12, 2012",,,,,,,,,,,,,,,
89387,Dog_Detail?DogID=89387,GWEEBARRA'S ORIGINAL COWBOY,Dog_Detail?DogID=89387,LANDRY,WS41866103 (AKC),"Aug 12, 2012",,,,,,,,,,,,,,,
42181,Dog_Detail?DogID=42181,PUPPY 12/26/06,Dog_Detail?DogID=42181,,,"Dec 26, 2006","Jan 6, 2007",,,,,,,,,,,,,,
57825,Dog_Detail?DogID=57825,WINSTON,Dog_Detail?DogID=57825,WINSTON,WS25715809,"Feb 25, 2008",,,,,,,,,,,,,,,
50856,Dog_Detail?DogID=50856,WS084136XX,Dog_Detail?DogID=50856,,WS084136XX,"Apr 26, 2004","Apr 26, 2004",,,,,,,,,,,,,,
57829,Dog_Detail?DogID=57829,YELLOW GIRL - RILEY,Dog_Detail?DogID=57829,RILEY,WS25715804,"Feb 25, 2008",,,,,,,,,,,,,,,
52592,Dog_Detail?DogID=52592,ZIGGY,Dog_Detail?DogID=52592,ZIGGY,,"Feb 24, 1998","Jul 30, 2009",,,,,,,,,,,,,,
,,,,,,,,,NKK,Elbows,ED-0,Normal,"Oct 10, 2024",,,,,,,,
,,,,,,,,,NKK,Hips,HD-B/A,Normal B,"Oct 11, 2024",,,,,,,,
,,,,,,,,,ANTGN,Histiocytic Sarcoma Genetic Risk Test,A00091696,Tested,"Nov 28, 2024",,,,,,,,
,,,,,,,,,,,,,,Unique Dogs in pedigree:,3,Complete Generations:,0,,,,
15134,Dog_Detail?DogID=15134,ANDANTE TALIESIN VON SAMMS,Dog_Detail?DogID=15134,ANDANTE,WP76497004 (AKC),"Feb 28, 1997",,,,,,,,,,,,,,,
14133,Dog_Detail?DogID=14133,ARUNDEL TYRELLA V TALIESIN,Dog_Detail?DogID=14133,,WE758926 (AKC),"Dec 7, 1980",,,,,,,,,,,,,,,
811,Dog_Detail?DogID=811,BROSI'S BANNER FOR TALIESIN,Dog_Detail?DogID=811,BANNER,WF434529 (AKC),"Mar 18, 1983","Mar 15, 1986",,,,,,,,,,,,,,
4858,Dog_Detail?DogID=4858,CELESTE RACETTE V TALIESIN,Dog_Detail?DogID=4858,,WG077126 (AKC),"Dec 2, 1987",,,,,,,,,,,,,,,
5634,Dog_Detail?DogID=5634,CHATHAM'S AMBROSIA V TALIESIN,Dog_Detail?DogID=5634,AMBROSIA,WE941395 (AKC),"Jun 11, 1981",,,,,,,,,,,,,,,
14164,Dog_Detail?DogID=14164,CHESTERFIELD V TALIESIN,Dog_Detail?DogID=14164,,WP47047402 (AKC),"Mar 17, 1993",,,,,,,,,,,,,,,
6,Dog_Detail?DogID=6,COPY'S AMBROSIA V TALIESIN,Dog_Detail?DogID=6,BROSI,WD813042 (AKC),"Jul 11, 1977","Aug 7, 1987",,,,,,,,,,,,,,
7,Dog_Detail?DogID=7,COPY'S CHANTAL V TALIESIN,Dog_Detail?DogID=7,CHANTAL,WD813041 (AKC),"Jul 11, 1977","Jan 6, 1986",,,,,,,,,,,,,,
